Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
ES,1506897000,0.47,82818000.0,12663733000,9531552000,1039984000,12663733000.0,144471000,0.1168,0.2473,2008-09,22.282222112019856
ES,1447886000,0.46,89816000.0,13988480000,10851968000,1078594000,13988480000.0,228702000,0.2077,0.2242,2008-12,22.69919349301246
ES,1593483000,0.6,416828000.0,14273586000,10701314000,1138969000,14273586000.0,139953000,0.1563,0.2502,2009-03,21.20317462133983
ES,1224431000,0.47,481148000.0,14127648000,10509605000,1180706000,14127648000.0,368384000,0.1116,0.256,2009-06,23.29698408217657
ES,1306173000,0.37,248977000.0,14006334000,10356716000,1203603000,14006334000.0,252793000,0.106,0.2605,2009-09,24.13222225128658
ES,1315343000,0.48,26952000.0,14057679000,10479777000,1246543000,14057679000.0,227988000,0.0049,0.2545,2009-12,26.200967696405225
ES,1339420000,0.49,30012000.0,14105446000,10364048000,1287271000,14105446000.0,225703000,-0.0117,0.2652,2010-03,26.70444443112328
ES,1111426000,0.41,88775000.0,14229723000,10569674000,1313848000,14229723000.0,308076000,0.0072,0.2572,2010-06,28.51523805043054
ES,1243337000,0.57,41179000.0,14297588000,10573490000,1368956000,14297588000.0,309868000,0.0207,0.2604,2010-09,31.265873167249893
ES,1203985000,0.73,23395000.0,14472601000,10659968000,1452777000,14472601000.0,249816000,0.0295,0.2634,2010-12,33.335714249383834
ES,1235251000,0.64,15359000.0,14418532000,10415500000,1518099000,14418532000.0,372766000,0.0221,0.2776,2011-03,34.89111098032149
ES,1047481000,0.44,15107000.0,14442346000,10525393000,1546493000,14442346000.0,313929000,0.0149,0.2712,2011-06,33.96634910220192
ES,1114892000,0.51,16721000.0,14728717000,10770067000,1587528000,14728717000.0,201752000,0.0301,0.2687,2011-09,34.019047721983895
ES,1068076000,0.63,6559000.0,15647066000,11515240000,1651875000,15647066000.0,81939000,0.0811,0.264,2011-12,35.63596774685767
ES,1099623000,0.56,283379000.0,15978354000,11906694000,1698553000,15978354000.0,8816000,0.1081,0.2548,2012-03,36.73269822862413
ES,1628684000,0.15,28483000.0,27506300000,18438661000,1635709000,27506300000.0,311587000,0.9045,0.3296,2012-06,38.705714089529856
ES,1861529000,0.66,73449000.0,27757562000,18580696000,1735690000,27757562000.0,475602000,0.8845,0.3306,2012-09,38.85278676767818
ES,1683965000,0.55,45748000.0,28302824000,18910206000,1802714000,28302824000.0,365224000,0.8088,0.3318,2012-12,41.02508194720159
ES,1995023000,0.72,60817000.0,28328661000,18827862000,1914371000,28328661000.0,473143000,0.7729,0.3353,2013-03,43.24015647172928
ES,1635900000,0.54,36055000.0,28196892000,18634712000,1969755000,28196892000.0,295881000,0.0251,0.3391,2013-06,42.31904753427657
ES,1892590000,0.66,57941000.0,28444318000,18771297000,2064401000,28444318000.0,407944000,0.0247,0.34,2013-09,41.976190355088974
ES,1777725000,0.56,43364000.0,27795537000,18028441000,2125980000,27795537000.0,486571000,-0.0179,0.3513,2013-12,43.63467739474389
